Sno,SensorId,Temperature,PH,EC,Mortality,DateTime
143,220,23.5,8.19,1.46,0,2022-04-21T08:39:39.1430000
144,220,23.5,7.8,2.08,0,2022-04-21T08:54:39.0470000
145,220,23.5,8.13,1.52,0,2022-04-21T09:09:39.0070000
146,220,23.5,8,1.84,0,2022-04-21T09:24:39.0970000
147,220,23.5,8.13,1.52,0,2022-04-21T09:39:39.0230000
148,220,23.5,8.05,1.78,0,2022-04-21T09:54:39.0500000
149,220,23.5,8.13,1.54,0,2022-04-21T10:09:39.0600000
150,220,23.5,8.02,1.78,0,2022-04-21T10:24:39.0470000
151,220,23.5,8.11,1.54,0,2022-04-21T10:39:39.0400000
152,220,23.5,8.16,1.57,0,2022-04-21T10:54:39.1230000
153,220,23.5,7.83,1.9,0,2022-04-21T11:09:39.1600000
154,220,23.5,8.16,1.46,0,2022-04-21T11:24:39.1000000
155,220,23.5,7.72,2.17,0,2022-04-21T11:39:39.0430000
156,220,23.5,8.16,1.49,0,2022-04-21T11:54:39.0730000
157,220,23.5,7.86,2.08,0,2022-04-21T12:09:39.0870000
158,220,23.5,8.13,1.52,0,2022-04-21T12:24:39.2670000
159,220,23.5,7.86,2.05,0,2022-04-21T12:39:39.1000000
160,220,23.5,8.13,1.52,0,2022-04-21T12:54:39.0600000
161,220,23.5,7.75,2.11,0,2022-04-21T13:09:39.1400000
162,220,23.5,8.16,1.49,0,2022-04-21T13:24:39.1270000
163,220,23.5,7.75,2.14,0,2022-04-21T13:39:39.2830000
164,220,23.5,8.13,1.52,0,2022-04-21T13:54:39.2570000
165,220,23.5,8.08,1.69,0,2022-04-21T14:09:39.1230000
166,220,23.5,8.13,1.54,0,2022-04-21T14:24:39.1500000
167,220,23.5,7.75,2.14,1,2022-04-21T14:39:39.1700000
168,220,23.5,8.16,1.46,1,2022-04-21T14:54:39.0800000
169,220,23.5,7.78,2.05,1,2022-04-21T15:09:39.1000000
170,220,23.5,8.19,1.49,1,2022-04-21T15:24:39.1570000
171,220,23.5,7.89,1.81,1,2022-04-21T15:39:39.2630000
172,220,23.5,8.19,1.46,1,2022-04-21T15:54:39.1830000
173,220,23.5,8.11,1.54,1,2022-04-21T16:09:39.1570000
174,220,23.5,8.13,1.54,1,2022-04-21T16:24:39.1030000
175,220,23.5,7.91,1.84,1,2022-04-21T16:39:39.1100000
176,220,23.5,8.22,1.54,1,2022-04-21T16:54:39.2070000
177,220,23.5,8.16,1.54,1,2022-04-21T17:09:39.1300000
178,220,23.5,7.89,2.02,1,2022-04-21T17:24:39.2470000
179,220,23.5,8.13,1.54,1,2022-04-21T17:39:39.1170000
180,220,23.5,8.13,1.69,1,2022-04-21T17:54:39.1600000
181,220,23.5,8.05,1.63,1,2022-04-21T18:09:39.2330000
182,220,23.5,8.19,1.54,1,2022-04-21T18:24:39.1100000
183,220,23.5,8.02,1.57,1,2022-04-21T18:39:39.2500000
184,220,23.5,8.19,1.6,1,2022-04-21T18:54:39.3030000
185,220,23.5,7.94,1.72,0,2022-04-21T19:09:39.1400000
186,220,23.5,8.16,1.49,0,2022-04-21T19:24:39.1370000
187,220,23.5,8.11,1.57,0,2022-04-21T19:39:39.1330000
188,220,23.5,8.13,1.6,0,2022-04-21T19:54:39.1370000
189,220,23.5,7.86,1.87,0,2022-04-21T20:09:40.7630000
190,220,23.5,8.13,1.49,0,2022-04-21T20:24:39.3770000
191,220,23.5,7.72,2.14,0,2022-04-21T20:39:39.2270000
192,220,23.5,8.16,1.49,0,2022-04-21T20:54:39.1430000
193,220,23.5,7.69,2.05,0,2022-04-21T21:09:39.1870000
194,220,23.5,8.16,1.46,0,2022-04-21T21:24:39.1870000
195,220,23.5,7.75,2.05,0,2022-04-21T21:39:39.1700000
196,220,23.5,8.16,1.46,0,2022-04-21T21:54:39.1330000
197,220,23.5,7.83,1.87,0,2022-04-21T22:09:39.1700000
198,220,23.5,8.16,1.43,0,2022-04-21T22:24:39.1500000
199,220,23.5,7.86,1.87,0,2022-04-21T22:39:39.1500000
200,220,23.5,8.16,1.63,0,2022-04-21T22:54:39.1800000
201,220,23.5,8.11,1.54,0,2022-04-21T23:09:39.1870000
202,220,23.5,8.08,1.75,0,2022-04-21T23:24:39.1700000
203,220,23.5,8.08,1.54,0,2022-04-21T23:39:39.1970000
204,220,23.5,8.11,1.75,0,2022-04-21T23:54:39.2000000
205,220,23.5,8.11,1.54,0,2022-04-22T00:09:39.2770000
206,220,23.5,7.91,1.96,0,2022-04-22T00:24:39.1770000
207,220,23.5,8.13,1.52,0,2022-04-22T00:39:39.3370000
208,220,23.5,7.8,2.11,0,2022-04-22T00:54:39.2230000
209,220,23.5,8.13,1.54,0,2022-04-22T01:09:39.2870000
210,220,23.5,7.75,2.17,0,2022-04-22T01:24:39.2330000
211,220,23.5,8.16,1.49,0,2022-04-22T01:39:39.2370000
212,220,23.5,7.72,2.02,0,2022-04-22T01:54:39.3570000
213,220,23.5,8.22,1.46,0,2022-04-22T02:09:39.4330000
214,220,23.5,7.8,1.93,0,2022-04-22T02:24:39.3700000
215,220,23.5,8.16,1.46,0,2022-04-22T02:39:39.3100000
216,220,23.5,7.91,1.84,0,2022-04-22T02:54:39.2570000
217,220,23.5,8.19,1.52,0,2022-04-22T03:09:39.2600000
218,220,23.5,7.97,1.6,0,2022-04-22T03:24:39.2500000
219,220,23.5,8.16,1.49,0,2022-04-22T03:39:39.5400000
220,220,23.5,7.8,1.96,0,2022-04-22T03:54:39.2330000
221,220,23.5,8.13,1.52,0,2022-04-22T04:09:39.3400000
222,220,23.5,7.75,2.02,0,2022-04-22T04:24:39.5030000
223,220,23.5,8.16,1.49,0,2022-04-22T04:39:39.3170000
224,220,23.5,7.86,1.87,0,2022-04-22T04:54:39.2500000
225,220,23.5,8.16,1.46,0,2022-04-22T05:09:39.3730000
226,220,23.5,8.02,1.57,0,2022-04-22T05:24:39.3730000
227,220,23.5,8.19,1.54,1,2022-04-22T05:39:39.5870000
228,220,23.5,8.13,1.52,1,2022-04-22T05:54:39.3670000
229,220,23.5,7.72,2.14,1,2022-04-22T06:09:39.4530000
230,220,23.5,8.16,1.46,1,2022-04-22T06:24:39.2900000
231,220,23.5,8.11,1.57,1,2022-04-22T06:39:39.3700000
232,220,23.5,7.94,1.9,1,2022-04-22T06:54:39.3200000
233,220,23.5,8.13,1.52,1,2022-04-22T07:09:39.3030000
234,220,23.5,7.69,2.17,1,2022-04-22T07:24:39.3930000
235,220,23.5,8.13,1.46,1,2022-04-22T07:39:39.5970000
236,220,23.5,7.94,1.72,1,2022-04-22T07:54:39.3130000
237,220,23.5,8.05,1.78,1,2022-04-22T08:09:39.3500000
238,220,23.5,8.13,1.54,1,2022-04-22T08:24:39.5300000
239,220,23.5,7.72,2.17,1,2022-04-22T08:39:39.3500000
240,220,23.5,8.19,1.52,1,2022-04-22T08:54:39.3470000
241,220,23.5,8.13,1.52,1,2022-04-22T09:09:39.3830000
242,220,23.5,7.83,2.08,1,2022-04-22T09:24:39.4330000
243,220,23.5,8.16,1.46,1,2022-04-22T09:39:39.4200000
244,220,23.5,7.8,1.93,1,2022-04-22T09:54:39.4430000
245,220,23.5,8.02,1.81,1,2022-04-22T10:09:39.3500000
246,220,23.5,8.16,1.46,1,2022-04-22T10:24:39.5670000
247,220,23.5,7.86,1.84,1,2022-04-22T10:39:39.3570000
248,220,23.5,7.94,1.96,1,2022-04-22T10:54:39.4530000
249,220,23.5,8.13,1.54,1,2022-04-22T11:09:39.6170000
250,220,23.5,7.86,1.99,1,2022-04-22T11:24:39.3600000
251,220,23.5,8.13,1.54,1,2022-04-22T11:39:39.4300000
252,220,23.5,7.86,2.05,1,2022-04-22T11:54:39.5170000
253,220,23.5,8.11,1.54,1,2022-04-22T12:09:39.4000000
254,220,23.5,7.97,1.9,1,2022-04-22T12:24:39.4770000
255,220,23.5,8.13,1.49,1,2022-04-22T12:39:39.5330000
256,220,23.5,7.86,1.81,1,2022-04-22T12:54:39.6670000
257,220,23.5,8.13,1.63,1,2022-04-22T13:09:39.3700000
258,220,23.5,8.13,1.52,1,2022-04-22T13:24:39.3970000
259,220,23.5,7.8,1.99,1,2022-04-22T13:39:39.5170000
260,220,23.5,8.16,1.49,1,2022-04-22T13:54:39.4930000
261,220,23.5,8.11,1.54,1,2022-04-22T14:09:39.4630000
